,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.0003234732147100881,0.0,0.00032128359291740566,,,,,,,,,,
1,dbpedia_text mnli_text,0.15530300469589667,0.17958284996067966,0.14372823007000107,0.04796838557532726,0.0688575298580446,,,,,,,,
2,dbpedia_text qnli_text,0.011184663231853543,0.02581988897471614,0.00944632431234485,,,0.050276888441564624,0.0775848535701784,,,,,,
3,dbpedia_text sst2_text,0.0002836472850441389,0.10219806477837261,0.0002816913012080496,,,,,0.0,0.0,,,,
4,dbpedia_text trec_coarse_text,0.0005563588297064755,0.11365151414154881,0.0005520125362756016,,,,,,,0.0,0.0,,
5,dbpedia_text yelp_polarity_text,0.016805034406566843,0.2121974971053565,0.024673622029344408,,,,,,,,,0.009095251907658948,0.007974076108849487
6,mnli_text,,0.0,,0.0011006919693777463,0.001032876373540293,,,,,,,,
7,mnli_text qnli_text,,0.09846036991827949,,0.004418940999439283,0.004231696067863618,0.011352945881060639,0.009742620066390373,,,,,,
8,mnli_text sst2_text,,0.15311578770474468,,0.008282939862509655,0.007756666769088644,,,0.27448335868914,0.27774502200420687,,,,
9,mnli_text trec_coarse_text,,0.09944289260117534,,0.0016112633991174313,0.0014624782059150013,,,,,0.0,0.0,,
10,mnli_text yelp_polarity_text,,0.4010056802036045,,0.0164756967436675,0.019967935545789302,,,,,,,0.01451119647108633,0.015456670068746152
11,qnli_text,,0.0,,,,0.0008680661050108331,0.0008489468702374476,,,,,,
12,qnli_text sst2_text,,0.1739252713092609,,,,0.002689507556999134,0.0034133186994062025,0.002343992311430585,0.0022828709290744205,,,,
13,qnli_text trec_coarse_text,,0.23452078799117151,,,,0.0027534620108063297,0.0032273312807472895,,,0.16689637503552915,0.1535353597910274,,
14,qnli_text yelp_polarity_text,,0.06433419688539595,,,,0.0029944762304452543,0.0031817442357882576,,,,,0.004974268198024586,0.004549484280539659
15,sst2_text,,0.0,,,,,,0.0027802899917382246,0.0026669379432726313,,,,
16,sst2_text trec_coarse_text,,0.14804278660801634,,,,,,0.0034615386613674934,0.0033989245010087113,0.0,0.0,,
17,sst2_text yelp_polarity_text,,0.25609243123008013,,,,,,0.009767548911408661,0.010026541370032923,,,0.005980928574846922,0.006002016771563361
18,trec_coarse_text,,0.0,,,,,,,,0.00976160278278568,0.017192590832490064,,
19,trec_coarse_text yelp_polarity_text,,0.22385511187174423,,,,,,,,0.0,0.0,0.002479936418827721,0.0023873025369601448
20,yelp_polarity_text,,0.0,,,,,,,,,,0.00044434825059343143,0.00043529285240500443
