,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9902428571428571,1.0,0.9902396487165028,,,,,,,,,,
1,dbpedia_text qnli_text,0.9527,0.4,0.9533391332813596,,,0.8304960644334615,0.8025586353944563,,,,,,
2,dbpedia_text sst2_text,0.9898857142857143,1.0,0.9898915457098517,,,,,0.0,0.0,,,,
3,dbpedia_text trec_coarse_text,0.9895,0.8500000000000001,0.9894961296890175,,,,,,,0.0,0.0,,
4,mnli_text,,1.0,,0.8548140601120734,0.8539976703292661,,,,,,,,
5,mnli_text dbpedia_text,0.8702714285714286,0.9500000000000001,0.8973922526912664,0.6059093224656139,0.618560047178413,,,,,,,,
6,mnli_text qnli_text,,0.8500000000000001,,0.8482934284258787,0.8485076533540626,0.8949295259015193,0.9003126085446336,,,,,,
7,mnli_text sst2_text,,0.45,,0.8266938359653592,0.8280364300742331,,,0.8681192660550459,0.8783068783068784,,,,
8,mnli_text trec_coarse_text,,0.75,,0.85206316861946,0.8518212165552405,,,,,0.0,0.0,,
9,mnli_text yelp_polarity_text,,0.1,,0.6035659704533877,0.6009644445597742,,,,,,,0.9395789473684211,0.9391723626344514
10,qnli_text,,1.0,,,,0.9331868936481786,0.9333576775607084,,,,,,
11,qnli_text sst2_text,,0.9,,,,0.9324546952224053,0.9320316817093388,0.9369266055045872,0.9393605292171995,,,,
12,qnli_text trec_coarse_text,,0.4,,,,0.9260479589968882,0.9246549794852668,,,0.068,0.09997750787224473,,
13,sst2_text,,1.0,,,,,,0.9415137614678899,0.9427609427609427,,,,
14,trec_coarse_text,,1.0,,,,,,,,0.96,0.947144131311965,,
15,trec_coarse_text sst2_text,,0.8,,,,,,0.9403669724770642,0.9419642857142857,0.0,0.0,,
16,yelp_polarity_text,,1.0,,,,,,,,,,0.9721578947368421,0.9721417662857443
17,yelp_polarity_text dbpedia_text,0.05242857142857143,1.0,0.07562412252382408,,,,,,,,,0.9471842105263157,0.9484446042795859
18,yelp_polarity_text qnli_text,,0.4,,,,0.924400512538898,0.9237303785780239,,,,,0.963,0.963259119891293
19,yelp_polarity_text sst2_text,,0.30000000000000004,,,,,,0.9185779816513762,0.9203142536475869,,,0.9555789473684211,0.955258693808312
20,yelp_polarity_text trec_coarse_text,,0.9,,,,,,,,0.0,0.0,0.9713421052631579,0.9713880349964531
