,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9905771428571428,1.0,0.9905743195221453,,,,,,,,,,
1,dbpedia_text mnli_text,0.7734614285714285,0.735,0.7721389220689528,0.5866530820173204,0.5727577193174006,,,,,,,,
2,dbpedia_text qnli_text,0.9669528571428572,0.38,0.9687325456708299,,,0.7879736408566721,0.735325974470365,,,,,,
3,dbpedia_text sst2_text,0.9902814285714285,0.8400000000000001,0.9902802023170366,,,,,0.0,0.0,,,,
4,dbpedia_text trec_coarse_text,0.9900214285714286,0.725,0.9900267964854608,,,,,,,0.0,0.0,,
5,dbpedia_text yelp_polarity_text,0.006941428571428554,0.835,0.010625854525335831,,,,,,,,,0.9490789473684211,0.9504931200093015
6,mnli_text,,1.0,,0.8541619969434538,0.8532810791375093,,,,,,,,
7,mnli_text qnli_text,,0.8450000000000001,,0.8466938359653591,0.8468466424570675,0.9005674537799744,0.9051763446724992,,,,,,
8,mnli_text sst2_text,,0.82,,0.8495262353540498,0.8493640516881962,,,0.08692660550458715,0.08783068783068784,,,,
9,mnli_text trec_coarse_text,,0.74,,0.8518492103922567,0.851533247862774,,,,,0.0,0.0,,
10,mnli_text yelp_polarity_text,,0.505,,0.613683138053999,0.611418483633774,,,,,,,0.9484315789473685,0.948198016641633
11,qnli_text,,1.0,,,,0.933479773018488,0.9337298000089543,,,,,,
12,qnli_text sst2_text,,0.645,,,,0.9302397949844406,0.9294854562383452,0.9344036697247707,0.9363579091960172,,,,
13,qnli_text trec_coarse_text,,0.6,,,,0.9285374336445177,0.9277149730707895,,,0.1492,0.16339034780102737,,
14,qnli_text yelp_polarity_text,,0.395,,,,0.9210140948196962,0.9216423627968681,,,,,0.9602236842105263,0.960744115783562
15,sst2_text,,1.0,,,,,,0.9379587155963304,0.9397226565054432,,,,
16,sst2_text trec_coarse_text,,0.595,,,,,,0.9380733944954128,0.9396472749085879,0.0,0.0,,
17,sst2_text yelp_polarity_text,,0.485,,,,,,0.9115825688073395,0.9123744219011212,,,0.962171052631579,0.9623242050537115
18,trec_coarse_text,,1.0,,,,,,,,0.9551999999999999,0.9509981810814736,,
19,trec_coarse_text yelp_polarity_text,,0.73,,,,,,,,0.0,0.0,0.968907894736842,0.9690419632658394
20,yelp_polarity_text,,1.0,,,,,,,,,,0.9715263157894736,0.971501214649454
